player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Roberto Canella,ESP,DF,Sporting Gijón,La Liga,23,31,2618,0,0,2011-2012,False,0.0
Cani,ESP,MF,Villarreal,La Liga,29,29,1894,0,3,2011-2012,True,0.1426
Michele Canini,ITA,DF,Cagliari,Serie A,26,34,3033,0,0,2011-2012,False,0.0
Paolo Cannavaro,ITA,DF,Napoli,Serie A,30,32,2670,2,0,2011-2012,False,0.0674
Daniele Capelli,ITA,DF,Atalanta,Serie A,25,11,880,0,0,2011-2012,False,0.0
Étienne Capoue,FRA,MF,Toulouse,Ligue 1,23,33,2819,3,4,2011-2012,True,0.2235
Lionel Cappone,FRA,GK,Brest,Ligue 1,32,1,90,0,0,2011-2012,False,0.0
Gianluca Caprari,ITA,"FW,MF",Roma,Serie A,18,1,4,0,0,2011-2012,False,0.0
Ciro Capuano,ITA,DF,Catania,Serie A,30,7,464,0,0,2011-2012,False,0.0
Andrea Caracciolo,ITA,FW,Genoa,Serie A,29,12,579,1,1,2011-2012,True,0.3109
Andrea Caracciolo,ITA,FW,Novara,Serie A,29,19,1450,2,2,2011-2012,True,0.2483
Carlão,BRA,"DF,MF",Sochaux,Ligue 1,25,21,1415,0,0,2011-2012,False,0.0
Carlitos,POR,"FW,MF",Hannover 96,Bundesliga,28,2,20,0,0,2011-2012,False,0.0
Carlos Carmona,CHI,MF,Atalanta,Serie A,24,28,1989,1,0,2011-2012,False,0.0452
Jamie Carragher,ENG,"DF,MF",Liverpool,Premier League,33,21,1728,0,0,2011-2012,False,0.0
Cédric Carrasso,FRA,GK,Bordeaux,Ligue 1,29,37,3315,0,0,2011-2012,False,0.0
Michael Carrick,ENG,MF,Manchester Utd,Premier League,30,30,2501,2,3,2011-2012,True,0.1799
Andy Carroll,ENG,FW,Liverpool,Premier League,22,35,2074,4,2,2011-2012,True,0.2604
Alessandro Carrozza,ITA,MF,Atalanta,Serie A,29,12,366,0,0,2011-2012,False,0.0
Moris Carrozzieri,ITA,"DF,FW",Lecce,Serie A,30,12,987,0,0,2011-2012,False,0.0
Samir Carruthers,IRL,MF,Aston Villa,Premier League,18,3,22,0,0,2011-2012,False,0.0
Ricardo Carvalho,POR,DF,Real Madrid,La Liga,33,8,601,0,1,2011-2012,True,0.1498
Roger Carvalho,BRA,DF,Genoa,Serie A,24,9,634,0,0,2011-2012,False,0.0
Víctor Casadesús,ESP,FW,Mallorca,La Liga,26,35,2673,9,4,2011-2012,True,0.4377
Federico Casarini,ITA,MF,Bologna,Serie A,21,11,655,0,0,2011-2012,False,0.0
Fabio Caserta,ITA,MF,Atalanta,Serie A,32,1,1,0,0,2011-2012,False,0.0
Nacho Cases,ESP,MF,Sporting Gijón,La Liga,23,21,1421,0,3,2011-2012,True,0.19
